WindVxi,GenSpeed,RotPwr,GenPwr,RotThrust,RotTorq,RotSpeed,BldPitch1,GenTq,TSR,OoPDefl1,IPDefl1,TTDspFA,TTDspSS,Ct
(m/sec),(rpm),(kW),(kW),(kN),(kN?m),(rpm),(deg),(kN?m),(-),(m),(m),(m),(m),[-]
3,676.3,42.9,40.5,171.7,58.8,6.972,0,0.606,15.316,0.989,-0.082,0.0278,-0.0004,2.497990147
4,696.7,188.2,177.7,215.9,250.2,7.183,0,2.58,11.835,1.3159,-0.0993,0.054,-0.0024,1.766833378
5,728.1,427.9,403.9,268.9,544.3,7.506,0,5.611,9.895,1.7103,-0.1588,0.0852,-0.0056,1.408360153
6,770.3,781.3,737.6,330.3,939.5,7.942,0,9.686,8.724,2.1517,-0.1635,0.1214,-0.01,1.201348494
7,821.4,1257.6,1187.2,398.6,1418.1,8.469,0,14.62,7.974,2.6592,-0.2925,0.1615,-0.0152,1.065133759
8,888.1,1876.2,1771.1,478,1956.9,9.156,0,20.174,7.543,3.2292,-0.3295,0.208,-0.021,0.977936955
9,998.7,2668,2518.6,579.2,2474.5,10.296,0,25.51,7.54,3.966,-0.4173,0.2669,-0.0265,0.936281559
10,1109,3653,3448.4,691.5,3051.1,11.431,0,31.455,7.535,4.7325,-0.4516,0.3322,-0.0326,0.9054305
11,1153.3,4833.2,4562.5,790.6,3881.3,11.89,0,40.014,7.125,5.3692,-0.561,0.3901,-0.0416,0.85552829
12,1173.9,5296.6,5000,690,4180.1,12.1,3.823,43.094,6.646,4.4382,-0.7149,0.3319,-0.0456,0.627407252
13,1173.8,5296.6,5000,608.4,4180.1,12.1,6.602,43.094,6.135,3.6501,-0.7404,0.2844,-0.046,0.471373796
14,1173.8,5296.6,5000,557.9,4180.1,12.1,8.668,43.094,5.697,3.1155,-0.7307,0.255,-0.0462,0.372703289
15,1173.8,5296.6,5000,520.5,4180.1,12.1,10.45,43.094,5.317,2.688,-0.7051,0.2333,-0.0463,0.30290131
16,1173.8,5296.6,5000,491.2,4180.1,12.1,12.055,43.094,4.984,2.3278,-0.6693,0.2165,-0.0464,0.251235686
17,1173.8,5296.6,5000,467.7,4180.1,12.1,13.536,43.094,4.691,2.0138,-0.6259,0.203,-0.0465,0.211900735
18,1173.8,5296.6,5000,448.4,4180.1,12.1,14.92,43.094,4.431,1.7327,-0.5759,0.1921,-0.0466,0.181210571
19,1173.8,5296.6,5000,432.3,4180.1,12.1,16.226,43.094,4.197,1.4765,-0.5203,0.1832,-0.0467,0.156798163
20,1173.8,5296.7,5000,418.8,4180.1,12.1,17.473,43.094,3.988,1.2452,-0.4616,0.1758,-0.0467,0.137091212
21,1173.8,5296.6,5000,406.7,4180.1,12.1,18.699,43.094,3.798,1.043,-0.4042,0.1691,-0.0467,0.120753164
22,1173.8,5296.7,5000,395.3,4180.1,12.1,19.941,43.094,3.625,0.8829,-0.3563,0.1625,-0.0467,0.106941036
23,1173.9,5296.6,5000,385.1,4180.1,12.1,21.177,43.094,3.467,0.7387,-0.3082,0.1568,-0.0467,0.095319286
24,1173.9,5296.6,5000,376.7,4180.1,12.1,22.347,43.094,3.323,0.5904,-0.2514,0.1525,-0.0467,0.085631997
25,1173.9,5296.7,5000,369.3,4180.1,12.1,23.469,43.094,3.19,0.4404,-0.1875,0.1487,-0.0466,0.077368152
