,u,shear,TI,Seed No
0,3.00067,1.60185,0.32728,1
1,3.00101,0.65084,0.18363,2
2,3.00134,1.9818,0.38467,3
3,3.00201,0.84069,0.21231,4
4,3.00269,1.22064,0.2697,5
5,3.00336,0.08009,0.09742,6
6,3.00403,0.46004,0.15481,7
7,3.0047,2.35966,0.44177,8
8,3.00537,2.38152,0.44508,9
9,3.00604,0.70539,0.19188,10
10,3.00671,0.37014,0.14123,11
11,3.00739,1.37504,0.29304,12
12,3.00806,1.03978,0.2424,13
13,3.00873,2.04419,0.39413,14
14,3.0094,1.70894,0.34349,15
15,3.01007,0.03476,0.09057,16
16,3.01074,1.48508,0.30968,17
17,3.01141,-0.18845,0.05685,18
18,3.01208,0.90449,0.22197,19
19,3.01276,1.90782,0.37355,20
20,3.01343,0.14594,0.10737,21
21,3.0141,1.14905,0.25892,22
22,3.01477,2.24096,0.42389,23
23,3.01544,0.56912,0.17131,24
24,3.01611,0.59124,0.17465,25
25,3.01678,2.48462,0.46071,26
26,3.01746,1.43728,0.30248,27
27,3.01813,0.30126,0.13084,28
28,3.0188,2.1046,0.4033,29
29,3.01947,0.96886,0.23171,30
30,3.02014,-0.07743,0.07363,31
31,3.02081,1.814,0.35941,32
32,3.02148,1.83587,0.36271,33
33,3.02216,0.87896,0.21813,34
34,3.02283,-0.16656,0.06016,35
35,3.0235,1.54563,0.31887,36
36,3.02417,0.50037,0.16093,37
37,3.02484,2.21182,0.41953,38
38,3.02551,1.16681,0.26164,39
39,3.02618,0.21107,0.11722,40
40,3.02686,0.23319,0.12057,41
41,3.02753,1.41035,0.29844,42
42,3.0282,2.49825,0.46283,43
43,3.02887,0.65479,0.18427,44
44,3.02954,1.74243,0.34863,45
45,3.03021,-0.10023,0.07019,46
46,3.03088,0.98715,0.2345,47
47,3.03156,2.1629,0.41217,48
48,3.03223,0.76484,0.20091,49
49,3.0329,1.9402,0.37853,50
50,3.03357,1.60716,0.3282,51
51,3.03424,-0.23348,0.05005,52
52,3.03491,2.27151,0.4286,53
53,3.03558,0.43142,0.15053,54
54,3.03625,0.09888,0.10028,55
55,3.03693,1.27309,0.27773,56
56,3.0376,1.29496,0.28104,57
57,3.03827,0.3423,0.13707,58
58,3.03894,0.71864,0.19394,59
59,3.03961,2.42325,0.45156,60
60,3.04028,-0.03436,0.08015,61
61,3.04095,1.66977,0.33769,62
62,3.04163,2.0456,0.39449,63
63,3.0423,1.09383,0.25065,64
64,3.04297,1.1157,0.25396,65
65,3.04364,0.16444,0.11019,66
66,3.04431,0.54027,0.167,67
67,3.04498,2.24247,0.42426,68
68,3.04565,-0.21158,0.05336,69
69,3.04633,1.49014,0.31056,70
70,3.047,1.86545,0.36729,71
71,3.04767,0.91509,0.22365,72
72,3.04834,0.93696,0.22696,73
73,3.04901,2.10722,0.40384,74
74,3.04968,1.77558,0.35372,75
75,3.05035,-0.05716,0.07671,76
76,3.05103,2.43701,0.4537,77
77,3.0517,0.60482,0.17676,78
78,3.05237,0.27368,0.12671,79
79,3.05304,1.4428,0.30343,80
80,3.05371,0.05291,0.09334,81
81,3.05438,1.22165,0.27001,82
82,3.05505,2.30178,0.43328,83
83,3.05573,0.47158,0.15663,84
84,3.0564,1.55145,0.31986,85
85,3.05707,-0.27796,0.04333,86
